Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH,Assists_Position,ASSISTS,ASSISTS PER MATCH,Pass_Position,Completed Pass,Total Pass
250,AINGERU OLABARRIETA,ATHLETIC CLUB,0,0,0,239,0,0,566,0,0
145,AITOR PAREDES,ATHLETIC CLUB,1,28,0.04,239,0,0,33,1060,1250
27,ALEX BERENGUER,ATHLETIC CLUB,6,27,0.22,74,2,0.07,294,243,344
250,ANDER HERRERA,ATHLETIC CLUB,0,17,0,74,2,0.12,211,464,541
145,ASIER VILLALIBRE,ATHLETIC CLUB,1,13,0.08,137,1,0.08,434,66,93
250,BEÑAT PRADOS,ATHLETIC CLUB,0,20,0,239,0,0,217,440,523
250,DANI VIVIAN,ATHLETIC CLUB,0,27,0,239,0,0,25,1112,1332
145,DANIEL GARCÍA CARRILLO,ATHLETIC CLUB,1,13,0.08,239,0,0,344,208,242
7,GORKA GURUZETA,ATHLETIC CLUB,13,29,0.45,46,3,0.1,205,378,553
250,HUGO RINCÓN,ATHLETIC CLUB,0,0,0,239,0,0,566,0,0
145,IKER MUNIAIN,ATHLETIC CLUB,1,16,0.06,239,0,0,330,236,264
250,IMANOL GARCÍA DE ALBÉNIZ,ATHLETIC CLUB,0,6,0,239,0,0,359,170,200
17,IÑAKI WILLIAMS,ATHLETIC CLUB,9,27,0.33,46,3,0.11,166,477,656
250,JAVIER MARTÓN,ATHLETIC CLUB,0,0,0,239,0,0,566,0,0
250,JULEN AGIRREZABALA,ATHLETIC CLUB,0,1,0,239,0,0,505,19,30
250,MALCOM ABDULAI ARES DJALÓ,ATHLETIC CLUB,0,10,0,239,0,0,471,51,61
250,MIKEL JAUREGIZAR,ATHLETIC CLUB,0,4,0,239,0,0,492,29,40
66,MIKEL VESGA,ATHLETIC CLUB,3,22,0.14,137,1,0.05,149,540,693
66,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,3,24,0.13,2,8,0.33,237,375,470
66,OIHAN SANCET,ATHLETIC CLUB,3,27,0.11,14,5,0.19,152,571,689
250,PERU NOLASKOAIN,ATHLETIC CLUB,0,2,0,239,0,0,533,5,8
250,RAÚL GARCÍA,ATHLETIC CLUB,0,13,0,239,0,0,468,36,64
250,UNAI EGILUZ,ATHLETIC CLUB,0,0,0,239,0,0,566,0,0
95,UNAI GÓMEZ,ATHLETIC CLUB,2,20,0.1,239,0,0,394,114,150
250,UNAI SIMÓN,ATHLETIC CLUB,0,29,0,239,0,0,94,464,863
250,YERAY ÁLVAREZ,ATHLETIC CLUB,0,13,0,239,0,0,250,363,447
66,YURI BERCHICHE,ATHLETIC CLUB,3,22,0.14,137,1,0.05,109,662,812
250,ÁLEX PADILLA,ATHLETIC CLUB,0,0,0,239,0,0,566,0,0
250,ÍÑIGO LEKUE,ATHLETIC CLUB,0,21,0,74,2,0.1,129,596,753
145,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,1,24,0.04,137,1,0.04,70,774,942
145,ÓSCAR DE MARCOS,ATHLETIC CLUB,1,23,0.04,26,4,0.17,79,760,922
250,ADRIÁN NIÑO,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
250,AITOR GISMERA,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
11,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,11,26,0.42,10,6,0.23,63,808,976
250,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
250,ARTHUR VERMEEREN,ATLÉTICO DE MADRID,0,3,0,239,0,0,472,48,60
95,AXEL WITSEL,ATLÉTICO DE MADRID,2,29,0.07,239,0,0,15,1421,1547
250,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,0,17,0,74,2,0.12,163,576,660
250,GABRIEL ARMANDO DE ABREU,ATLÉTICO DE MADRID,0,22,0,239,0,0,51,912,1057
250,HORATIU MOLDOVAN,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
250,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
250,IVO GRBIC,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
250,JAN OBLAK,ATLÉTICO DE MADRID,0,30,0,239,0,0,160,471,666
250,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,0,27,0,46,3,0.11,9,1550,1706
250,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,0,17,0,239,0,0,260,350,413
250,MARCO MORENO,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
27,MARCOS LLORENTE,ATLÉTICO DE MADRID,6,30,0.2,46,3,0.1,107,690,829
250,MARIO HERMOSO,ATLÉTICO DE MADRID,0,23,0,137,1,0.04,20,1255,1441
38,MEMPHIS DEPAY,ATLÉTICO DE MADRID,5,20,0.25,137,1,0.05,351,169,225
95,NAHUEL MOLINA,ATLÉTICO DE MADRID,2,26,0.08,46,3,0.12,86,685,884
250,PABLO BARRIOS,ATLÉTICO DE MADRID,0,19,0,137,1,0.05,140,614,717
250,RAYANE BELAID,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
145,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,1,9,0.11,137,1,0.11,314,255,292
145,RODRIGO DE PAUL,ATLÉTICO DE MADRID,1,26,0.04,26,4,0.15,38,1010,1170
95,RODRIGO RIQUELME,ATLÉTICO DE MADRID,2,26,0.08,14,5,0.19,246,365,452
250,SALIM EL JEBARI,ATLÉTICO DE MADRID,0,1,0,239,0,0,559,3,3
66,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,3,26,0.12,74,2,0.08,143,585,707
145,SAÚL ÑÍGUEZ,ATLÉTICO DE MADRID,1,29,0.03,14,5,0.17,188,493,606
250,SERGIO MESTRE,ATLÉTICO DE MADRID,0,0,0,239,0,0,566,0,0
250,STEFAN SAVIC,ATLÉTICO DE MADRID,0,18,0,239,0,0,126,640,759
250,THOMAS LEMAR,ATLÉTICO DE MADRID,0,3,0,239,0,0,453,69,77
250,YANNICK CARRASCO,ATLÉTICO DE MADRID,0,3,0,137,1,0.33,457,58,75
5,ÁLVARO MORATA,ATLÉTICO DE MADRID,14,27,0.52,137,1,0.04,296,243,339
24,ÁNGEL CORREA,ATLÉTICO DE MADRID,7,24,0.29,74,2,0.08,307,255,318
250,ÇAGLAR SÖYÜNCÜ,ATLÉTICO DE MADRID,0,6,0,239,0,0,449,71,81
145,AIMAR OROZ,CA OSASUNA,1,29,0.03,137,1,0.03,81,752,914
250,AITOR FERNÁNDEZ,CA OSASUNA,0,5,0,239,0,0,416,78,119
145,ALEJANDRO CATENA,CA OSASUNA,1,23,0.04,74,2,0.09,59,830,1015
1,ANTE BUDIMIR,CA OSASUNA,16,30,0.53,74,2,0.07,261,222,410
250,ASIER OSAMBELA,CA OSASUNA,0,0,0,239,0,0,566,0,0
250,DARKO BRASANAC,CA OSASUNA,0,2,0,239,0,0,524,9,14
250,DAVID GARCÍA,CA OSASUNA,0,25,0,137,1,0.04,35,1029,1235
250,DIMITRIOS STAMATAKIS,CA OSASUNA,0,0,0,239,0,0,566,0,0
47,IKER MUÑOZ,CA OSASUNA,4,20,0.2,239,0,0,176,483,635
250,IÑIGO ARGUIBIDE,CA OSASUNA,0,1,0,239,0,0,559,0,3
250,JAVI MARTÍNEZ,CA OSASUNA,0,0,0,239,0,0,566,0,0
145,JESÚS ARESO,CA OSASUNA,1,29,0.03,26,4,0.14,138,586,723
250,JOHAN MOJICA,CA OSASUNA,0,22,0,74,2,0.09,156,526,683
250,JON MONCAYOLA,CA OSASUNA,0,26,0,46,3,0.12,127,613,758
250,JORGE HERRANDO,CA OSASUNA,0,11,0,239,0,0,295,271,343
95,JOSÉ ARNAIZ,CA OSASUNA,2,20,0.1,137,1,0.05,368,152,185
250,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,0,20,0,137,1,0.05,169,524,644
250,KIKE BARJA,CA OSASUNA,0,16,0,239,0,0,438,78,90
250,LUCAS TORRÓ,CA OSASUNA,0,21,0,239,0,0,176,480,635
250,MAX SVENSSON,CA OSASUNA,0,0,0,239,0,0,566,0,0
95,MOI GÓMEZ,CA OSASUNA,2,23,0.09,239,0,0,72,783,938
145,PABLO IBÁÑEZ,CA OSASUNA,1,26,0.04,137,1,0.04,318,221,288
250,PABLO VALENCIA,CA OSASUNA,0,0,0,239,0,0,566,0,0
66,RAÚL GARCÍA,CA OSASUNA,3,27,0.11,239,0,0,364,117,192
95,RUBÉN GARCÍA,CA OSASUNA,2,23,0.09,74,2,0.09,242,324,453
250,RUBÉN PEÑA,CA OSASUNA,0,21,0,137,1,0.05,205,392,553
250,SERGIO HERRERA,CA OSASUNA,0,26,0,239,0,0,95,516,856
145,UNAI GARCÍA,CA OSASUNA,1,7,0.14,239,0,0,375,142,178
250,AIHAM HANZ OUSOU,CÁDIZ CF,0,3,0,239,0,0,451,59,79
250,ARISTIDE NJALLA,CÁDIZ CF,0,0,0,239,0,0,566,0,0
250,BRIAN OCAMPO,CÁDIZ CF,0,10,0,239,0,0,469,42,63
38,CHRIS RAMOS,CÁDIZ CF,5,30,0.17,137,1,0.03,272,222,382
250,CONAN LEDESMA,CÁDIZ CF,0,27,0,239,0,0,92,468,872
47,DARWIN MACHÍS,CÁDIZ CF,4,19,0.21,239,0,0,356,153,212
250,DAVID GIL,CÁDIZ CF,0,4,0,239,0,0,425,50,108
250,DIADIÉ SAMASSÉKOU,CÁDIZ CF,0,2,0,239,0,0,510,24,25
250,ETTA EYONG,CÁDIZ CF,0,1,0,239,0,0,563,2,2
145,FEDE SAN EMETERIO,CÁDIZ CF,1,4,0.25,239,0,0,481,42,50
250,GONZALO ESCALANTE,CÁDIZ CF,0,19,0,74,2,0.11,231,360,479
250,IVÁN ALEJO,CÁDIZ CF,0,26,0,74,2,0.08,325,175,278
250,IZA CARCELÉN,CÁDIZ CF,0,28,0,239,0,0,129,559,753
145,JAVI HERNÁNDEZ,CÁDIZ CF,1,23,0.04,74,2,0.09,150,492,692
250,JORGE MERÉ,CÁDIZ CF,0,10,0,239,0,0,351,165,225
250,JOSEBA ZALDÚA,CÁDIZ CF,0,8,0,239,0,0,460,44,72
250,JOSÉ ANTONIO DE LA ROSA,CÁDIZ CF,0,0,0,239,0,0,566,0,0
250,JOSÉ MARI MARTÍN,CÁDIZ CF,0,3,0,239,0,0,517,16,20
66,JUAN MIGUEL JIMÉNEZ LÓPEZ,CÁDIZ CF,3,8,0.38,239,0,0,394,123,150
145,LUCAS PIRES SILVA,CÁDIZ CF,1,22,0.05,239,0,0,239,351,460
145,LUIS HERNÁNDEZ,CÁDIZ CF,1,9,0.11,239,0,0,311,238,303
250,MAXIMILIANO GÓMEZ,CÁDIZ CF,0,24,0,239,0,0,364,104,192
250,MILUTIN OSMAJIC,CÁDIZ CF,0,1,0,239,0,0,559,2,3
250,MOMO MBAYE,CÁDIZ CF,0,4,0,239,0,0,445,47,83
250,MOUSSA DIAKITÉ,CÁDIZ CF,0,1,0,239,0,0,566,0,0
250,RAFAEL JIMÉNEZ JARQUE,CÁDIZ CF,0,24,0,239,0,0,122,582,767
145,ROBERT NAVARRO,CÁDIZ CF,1,20,0.05,137,1,0.05,281,278,364
95,ROGER MARTÍ,CÁDIZ CF,2,16,0.13,74,2,0.13,348,149,227
250,ROMINIGUE KOUAMÉ,CÁDIZ CF,0,16,0,239,0,0,261,354,410
95,RUBÉN ALCARAZ,CÁDIZ CF,2,28,0.07,137,1,0.04,40,914,1132
250,RUBÉN SOBRINO,CÁDIZ CF,0,25,0,137,1,0.04,269,292,389
250,SERGI GUARDIOLA,CÁDIZ CF,0,18,0,137,1,0.06,400,105,142
250,VICTOR CHUST,CÁDIZ CF,0,15,0,137,1,0.07,146,560,697
250,VICTOR WEHBI AZNAR USSEN,CÁDIZ CF,0,0,0,239,0,0,566,0,0
250,ÁLEX FERNÁNDEZ,CÁDIZ CF,0,21,0,239,0,0,257,365,430
250,ÁLEX MORATA,CÁDIZ CF,0,0,0,239,0,0,566,0,0
250,ÁLVARO BASTIDA,CÁDIZ CF,0,0,0,239,0,0,566,0,0
250,ÁLVARO NEGREDO,CÁDIZ CF,0,7,0,239,0,0,519,9,17
145,ABDE REBBACH,DEPORTIVO ALAVÉS,1,20,0.05,239,0,0,409,87,132
250,ABDEL ABQAR,DEPORTIVO ALAVÉS,0,21,0,239,0,0,174,469,637
250,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
145,ALEKSANDAR SEDLAR,DEPORTIVO ALAVÉS,1,11,0.09,239,0,0,264,342,403
145,ANDER GUEVARA,DEPORTIVO ALAVÉS,1,29,0.03,239,0,0,31,975,1275
250,ANDER SÁNCHEZ,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
145,ANDONI GOROSABEL,DEPORTIVO ALAVÉS,1,29,0.03,239,0,0,97,688,845
250,ANTONIO BLANCO,DEPORTIVO ALAVÉS,0,27,0,137,1,0.04,106,651,831
250,ANTONIO SIVERA,DEPORTIVO ALAVÉS,0,30,0,239,0,0,88,485,881
145,CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,1,23,0.04,137,1,0.04,310,210,304
250,CARLOS VICENTE,DEPORTIVO ALAVÉS,0,11,0,74,2,0.18,390,100,159
250,EGOITZ MUÑOZ,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
250,ENEKO ORTIZ,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
250,GAIZKA GARCÍA,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
250,GIORGI GAGUA,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
250,GIULIANO SIMEONE,DEPORTIVO ALAVÉS,0,7,0,239,0,0,510,16,25
250,IANIS HAGI,DEPORTIVO ALAVÉS,0,18,0,137,1,0.06,377,130,176
250,JAVI LÓPEZ,DEPORTIVO ALAVÉS,0,26,0,46,3,0.12,172,458,639
250,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
250,JOAQUÍN PANICHELLI,DEPORTIVO ALAVÉS,0,2,0,239,0,0,538,3,7
250,JON GURIDI,DEPORTIVO ALAVÉS,0,29,0,26,4,0.14,170,510,643
250,JOSEDA ÁLVAREZ,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
66,KIKE GARCÍA,DEPORTIVO ALAVÉS,3,27,0.11,239,0,0,355,150,219
47,LUIS RIOJA,DEPORTIVO ALAVÉS,4,30,0.13,26,4,0.13,187,453,608
250,MAMADOU SYLLA,DEPORTIVO ALAVÉS,0,2,0,239,0,0,538,3,7
250,MIGUEL DE LA FUENTE,DEPORTIVO ALAVÉS,0,3,0,239,0,0,522,7,15
145,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,1,18,0.06,239,0,0,368,133,185
250,NIKOLA MARAS,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
250,RAFA MARÍN,DEPORTIVO ALAVÉS,0,27,0,239,0,0,99,699,841
95,RUBÉN DUARTE,DEPORTIVO ALAVÉS,2,22,0.09,239,0,0,221,365,512
250,RÚBEN MONTERO,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
17,SAMU OMORODION,DEPORTIVO ALAVÉS,9,29,0.31,137,1,0.03,323,205,281
250,SELU DIALLO,DEPORTIVO ALAVÉS,0,0,0,239,0,0,566,0,0
250,TOMÁS MENDES,DEPORTIVO ALAVÉS,0,1,0,239,0,0,543,4,6
250,UNAI ROPERO,DEPORTIVO ALAVÉS,0,1,0,239,0,0,553,4,4
250,VICTOR PARADA,DEPORTIVO ALAVÉS,0,2,0,239,0,0,566,0,0
250,XEBER ALKAIN,DEPORTIVO ALAVÉS,0,9,0,239,0,0,457,57,75
250,ÁLEX SOLA,DEPORTIVO ALAVÉS,0,25,0,74,2,0.08,334,177,255
250,ALEIX GARRIDO,FC BARCELONA,0,0,0,239,0,0,566,0,0
250,ALEJANDRO BALDE,FC BARCELONA,0,18,0,137,1,0.06,159,592,669
250,ANDER ASTRALAGA,FC BARCELONA,0,0,0,239,0,0,566,0,0
250,ANDREAS CHRISTENSEN,FC BARCELONA,0,22,0,74,2,0.09,29,1230,1293
250,ANSU FATI,FC BARCELONA,0,3,0,239,0,0,508,23,27
250,DIEGO KOCHEN,FC BARCELONA,0,0,0,239,0,0,566,0,0
66,FERMÍN LÓPEZ,FC BARCELONA,3,23,0.13,239,0,0,267,330,396
24,FERRAN TORRES,FC BARCELONA,7,22,0.32,74,2,0.09,292,275,347
95,FRENKIE DE JONG,FC BARCELONA,2,19,0.11,239,0,0,11,1508,1621
250,HÉCTOR FORT,FC BARCELONA,0,4,0,137,1,0.25,428,91,101
250,IGNACIO PEÑA SOTORRES,FC BARCELONA,0,10,0,239,0,0,337,213,251
38,ILKAY GÜNDOGAN,FC BARCELONA,5,30,0.17,10,6,0.2,7,1667,1863
27,JOÃO FÉLIX SEQUEIRA,FC BARCELONA,6,23,0.26,46,3,0.13,218,437,522
95,JOÃO PEDRO CAVACO CANCELO,FC BARCELONA,2,25,0.08,46,3,0.12,32,1059,1266
145,JULES KOUNDÉ,FC BARCELONA,1,27,0.04,74,2,0.07,5,1753,1928
47,LAMINE YAMAL,FC BARCELONA,4,29,0.14,46,3,0.1,146,580,697
250,MARC CASADÓ,FC BARCELONA,0,1,0,239,0,0,553,4,4
145,MARC GUIU,FC BARCELONA,1,3,0.33,239,0,0,533,8,8
250,MARC-ANDRÉ TER STEGEN,FC BARCELONA,0,20,0,239,0,0,167,576,651
250,MARCOS ALONSO,FC BARCELONA,0,4,0,239,0,0,415,110,121
250,MIKAYIL FAYE,FC BARCELONA,0,0,0,239,0,0,566,0,0
250,ORIOL ROMEU,FC BARCELONA,0,23,0,137,1,0.04,153,617,688
145,PABLO MARTÍN PÁEZ GAVIRA,FC BARCELONA,1,12,0.08,137,1,0.08,216,481,526
250,PAU CUBARSÍ,FC BARCELONA,0,11,0,239,0,0,88,809,881
250,PAU PRIM,FC BARCELONA,0,0,0,239,0,0,566,0,0
250,PAU VICTOR,FC BARCELONA,0,0,0,239,0,0,566,0,0
95,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,2,16,0.13,74,2,0.13,119,676,780
38,RAPHAEL DIAS BELLOLI,FC BARCELONA,5,22,0.23,4,7,0.32,229,385,481
7,ROBERT LEWANDOWSKI,FC BARCELONA,13,28,0.46,2,8,0.29,241,322,454
145,RONALD ARAUJO,FC BARCELONA,1,21,0.05,239,0,0,26,1173,1317
66,SERGI ROBERTO,FC BARCELONA,3,8,0.38,137,1,0.13,281,336,364
250,UNAI HERNÁNDEZ,FC BARCELONA,0,0,0,239,0,0,566,0,0
95,VITOR HUGO ROQUE FERREIRA,FC BARCELONA,2,10,0.2,239,0,0,484,35,48
250,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0,239,0,0,566,0,0
250,ÍÑIGO MARTÍNEZ,FC BARCELONA,0,15,0,239,0,0,115,703,794
250,ALEJANDRO HERRANZ,GETAFE CF,0,0,0,239,0,0,566,0,0
4,BORJA MAYORAL,GETAFE CF,15,27,0.56,137,1,0.04,214,414,533
145,CARLES ALEÑÁ,GETAFE CF,1,24,0.04,137,1,0.04,312,239,299
250,DAMIÁN SUÁREZ,GETAFE CF,0,16,0,74,2,0.13,230,340,480
250,DANIEL CERANTOLA FUZATO,GETAFE CF,0,0,0,239,0,0,566,0,0
250,DAVID SORIA,GETAFE CF,0,30,0,239,0,0,75,434,933
250,DIEGO RICO,GETAFE CF,0,25,0,4,7,0.28,105,567,838
250,DJENÉ DAKONAM,GETAFE CF,0,26,0,239,0,0,114,627,797
250,DJORDJIJE MEDENICA,GETAFE CF,0,0,0,239,0,0,566,0,0
250,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,0,15,0,239,0,0,277,292,376
250,ENES ÜNAL,GETAFE CF,0,3,0,137,1,0.33,499,23,34
250,FABRIZIO ANGILERI,GETAFE CF,0,8,0,239,0,0,476,35,56
250,FACUNDO ESNÁIDER,GETAFE CF,0,0,0,239,0,0,566,0,0
145,GASTÓN ÁLVAREZ,GETAFE CF,1,27,0.04,239,0,0,144,521,705
250,GORKA RIVERA,GETAFE CF,0,1,0,239,0,0,547,4,5
250,ILAIX MORIBA,GETAFE CF,0,7,0,137,1,0.14,409,100,132
47,JAIME MATA,GETAFE CF,4,27,0.15,137,1,0.04,268,267,391
145,JESÚS SANTIAGO PÉREZ,GETAFE CF,1,7,0.14,239,0,0,440,69,88
250,JOHN PATRICK,GETAFE CF,0,0,0,239,0,0,566,0,0
250,JORGE BENITO,GETAFE CF,0,0,0,239,0,0,566,0,0
250,JORGE MARTÍN,GETAFE CF,0,9,0,239,0,0,382,112,170
145,JOSÉ ÁNGEL CARMONA,GETAFE CF,1,22,0.05,137,1,0.05,348,169,227
250,JUAN IGLESIAS,GETAFE CF,0,22,0,74,2,0.09,242,294,453
95,JUANMI LATASA,GETAFE CF,2,25,0.08,239,0,0,308,165,310
250,LUIS MILLA,GETAFE CF,0,19,0,137,1,0.05,113,663,802
27,MASON GREENWOOD,GETAFE CF,6,25,0.24,14,5,0.2,163,530,660
