Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH
250,RODRIGO SÁNCHEZ RODRÍGUEZ,REAL BETIS,0,22,0
250,PAUL AKOUOKOU,REAL BETIS,0,2,0
250,ANDRÉS GUARDADO,REAL BETIS,0,12,0
250,BORJA IGLESIAS,REAL BETIS,0,11,0
250,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,21,0
250,LUIZ FELIPE RAMOS MARCHI,REAL BETIS,0,4,0
250,YOUSSOUF SABALY,REAL BETIS,0,6,0
250,LUIZ HENRIQUE ANDRÉ ROSA DA SILVA,REAL BETIS,0,14,0
250,IVÁN ALEJO,CÁDIZ CF,0,26,0
250,RAFAEL JIMÉNEZ JARQUE,CÁDIZ CF,0,24,0
250,CONAN LEDESMA,CÁDIZ CF,0,27,0
250,IZA CARCELÉN,CÁDIZ CF,0,28,0
250,JORGE MERÉ,CÁDIZ CF,0,10,0
250,RUBÉN SOBRINO,CÁDIZ CF,0,25,0
250,ÁLEX FERNÁNDEZ,CÁDIZ CF,0,21,0
250,GONZALO ESCALANTE,CÁDIZ CF,0,19,0
250,THOMAS LEMAR,ATLÉTICO DE MADRID,0,3,0
250,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,0,27,0
250,STEFAN SAVIC,ATLÉTICO DE MADRID,0,18,0
250,ÇAGLAR SÖYÜNCÜ,ATLÉTICO DE MADRID,0,6,0
250,JAN OBLAK,ATLÉTICO DE MADRID,0,30,0
250,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,0,17,0
250,YANNICK CARRASCO,ATLÉTICO DE MADRID,0,3,0
250,MARIO HERMOSO,ATLÉTICO DE MADRID,0,23,0
250,PABLO BARRIOS,ATLÉTICO DE MADRID,0,19,0
250,JAVI LÓPEZ,DEPORTIVO ALAVÉS,0,26,0
250,MAMADOU SYLLA,DEPORTIVO ALAVÉS,0,2,0
250,RAFA MARÍN,DEPORTIVO ALAVÉS,0,27,0
250,ANTONIO SIVERA,DEPORTIVO ALAVÉS,0,30,0
250,ABDEL ABQAR,DEPORTIVO ALAVÉS,0,21,0
250,MIGUEL DE LA FUENTE,DEPORTIVO ALAVÉS,0,3,0
250,JON GURIDI,DEPORTIVO ALAVÉS,0,29,0
250,ANTONIO BLANCO,DEPORTIVO ALAVÉS,0,27,0
250,JESÚS VALLEJO,GRANADA CF,0,3,0
250,GERARD GUMBAU,GRANADA CF,0,27,0
250,NJEGOS PETROVIC,GRANADA CF,0,10,0
250,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,GRANADA CF,0,15,0
250,JOSÉ ANTONIO RODRÍGUEZ DÍAZ,GRANADA CF,0,25,0
250,ÓSCAR MELENDO,GRANADA CF,0,22,0
250,CARLOS NEVA,GRANADA CF,0,29,0
250,SERGIO RUIZ,GRANADA CF,0,27,0
250,JOSÉ CALLEJÓN,GRANADA CF,0,20,0
250,HUGO GONZÁLEZ,VALENCIA CF,0,7,0
250,MIKA MÁRMOL,UD LAS PALMAS,0,28,0
250,RAÚL ALBIOL,VILLARREAL CF,0,22,0
250,BEN BRERETON,VILLARREAL CF,0,14,0
250,MATTEO GABBIA,VILLARREAL CF,0,7,0
250,ARNAU PUIGMAL,UD ALMERÍA,0,11,0
250,IBRAHIMA KONÉ,UD ALMERÍA,0,8,0
250,JUAN BRANDÁRIZ MOVILLA,UD ALMERÍA,0,23,0
250,LUÍS MANUEL ARANTES MAXIMIANO,UD ALMERÍA,0,27,0
250,AITOR FERNÁNDEZ,CA OSASUNA,0,5,0
250,RAÚL GARCÍA,ATHLETIC CLUB,0,13,0
250,BEÑAT PRADOS,ATHLETIC CLUB,0,20,0
250,CARLOS DOTOR,RC CELTA,0,16,0
250,GORKA RIVERA,GETAFE CF,0,1,0
250,SANTIAGO GARCÍA,GETAFE CF,0,1,0
250,ÁLVARO NEGREDO,CÁDIZ CF,0,7,0
250,MILUTIN OSMAJIC,CÁDIZ CF,0,1,0
250,JOSÉ MARI MARTÍN,CÁDIZ CF,0,3,0
250,SILVI CLUA,GIRONA FC,0,1,0
250,JUAN CRUZ,REAL BETIS,0,5,0
250,XEBER ALKAIN,DEPORTIVO ALAVÉS,0,9,0
250,FAMARA DIÉDHIOU,GRANADA CF,0,8,0
250,ALBERTO PEREA,GRANADA CF,0,2,0
250,JESÚS CORONA,SEVILLA FC,0,2,0
250,MARKO DMITROVIC,SEVILLA FC,0,13,0
250,JOAN JORDÁN,SEVILLA FC,0,6,0
250,KEPA ARRIZABALAGA REVUELTA,REAL MADRID,0,12,0
250,JOSÉ IGNACIO FERNÁNDEZ IGLESIAS,REAL MADRID,0,22,0
250,RENATO TAPIA,RC CELTA,0,19,0
250,MAXIMILIANO GÓMEZ,CÁDIZ CF,0,24,0
250,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,23,0
250,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,0,15,0
250,VÍCTOR DÍAZ,GRANADA CF,0,4,0
250,RAÚL FERNÁNDEZ,GRANADA CF,0,4,0
250,ALBERTO SORO,GRANADA CF,0,1,0
250,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,0,20,0
250,KIKE BARJA,CA OSASUNA,0,16,0
250,MARCOS ALONSO,FC BARCELONA,0,4,0
250,CRISTHIAN MOSQUERA,VALENCIA CF,0,28,0
250,JUAN MIRANDA,REAL BETIS,0,18,0
250,FABRIZIO ANGILERI,GETAFE CF,0,8,0
250,OMAR ALDERETE,GETAFE CF,0,23,0
250,YEREMY PINO,VILLARREAL CF,0,7,0
250,KIKO FEMENÍA,VILLARREAL CF,0,16,0
250,CARLOS DOMÍNGUEZ,RC CELTA,0,16,0
250,KIERAN TIERNEY,REAL SOCIEDAD,0,15,0
250,MAURO ARAMBARRI,GETAFE CF,0,7,0
250,MARIO DOMÍNGUEZ,VALENCIA CF,0,3,0
250,SELIM AMALLAH,VALENCIA CF,0,17,0
250,HÉCTOR BELLERÍN,REAL BETIS,0,19,0
250,ADRIÀ MIQUEL BOSCH,GRANADA CF,0,1,0
250,ÁLEX SOLA,DEPORTIVO ALAVÉS,0,25,0
250,IANIS HAGI,DEPORTIVO ALAVÉS,0,18,0
250,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,6,0
250,ÍÑIGO MARTÍNEZ,FC BARCELONA,0,15,0
250,MÁXIMO PERRONE,UD LAS PALMAS,0,24,0
250,JORGE HERRANDO,CA OSASUNA,0,11,0
250,FRANCISCO BARBOSA VIEITES,REAL BETIS,0,3,0
250,GUILHERME SOUSA CARVALHO FERNANDES,REAL BETIS,0,0,0
250,MARC BARTRA,REAL BETIS,0,3,0
250,CHADI RIAD,REAL BETIS,0,19,0
250,DANIEL PÉREZ GUERRERO,REAL BETIS,0,0,0
250,IGNACIO PEÑA SOTORRES,FC BARCELONA,0,10,0
250,DIEGO KOCHEN,FC BARCELONA,0,0,0
250,ANDER ASTRALAGA,FC BARCELONA,0,0,0
250,MARC CASADÓ,FC BARCELONA,0,1,0
250,PAU CUBARSÍ,FC BARCELONA,0,11,0
250,RUBÉN IRANZO,VALENCIA CF,0,0,0
250,MARTÍN TEJÓN,VALENCIA CF,0,0,0
250,JAUME DOMÈNECH,VALENCIA CF,0,0,0
250,CÉSAR TÁRREGA,VALENCIA CF,0,1,0
250,CRISTIAN RIVERO,VALENCIA CF,0,0,0
250,GONÇALO MENDES PACIÊNCIA,RC CELTA,0,0,0
250,RAÚL GARCÍA,RC CELTA,0,0,0
250,AGUSTÍN MARCHESÍN,RC CELTA,0,0,0
250,KEVIN VÁZQUEZ,RC CELTA,0,11,0
250,COKE CARRILLO,RC CELTA,0,0,0
250,FERNANDO MARTÍNEZ,UD ALMERÍA,0,2,0
250,ÁLEX CENTELLES,UD ALMERÍA,0,10,0
250,ARVIN APPIAH,UD ALMERÍA,0,0,0
250,HOUBOULANG MENDES,UD ALMERÍA,0,7,0
250,GUILHERME BORGES GUEDES,UD ALMERÍA,0,0,0
250,BRUNO IRIBARNE,UD ALMERÍA,0,0,0
250,RUBÉN QUINTANILLA,RCD MALLORCA,0,0,0
250,DANIEL LUNA,RCD MALLORCA,0,0,0
250,DOMINIK GREIF,RCD MALLORCA,0,1,0
250,PERE GARCÍA,RCD MALLORCA,0,0,0
250,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0
250,UNAI EGILUZ,ATHLETIC CLUB,0,0,0
250,PERU NOLASKOAIN,ATHLETIC CLUB,0,2,0
250,MALCOM ABDULAI ARES DJALÓ,ATHLETIC CLUB,0,10,0
250,JAVIER MARTÓN,ATHLETIC CLUB,0,0,0
250,JULEN AGIRREZABALA,ATHLETIC CLUB,0,1,0
250,PABLO MUÑOZ,RAYO VALLECANO,0,0,0
250,JORGE MORENO,RAYO VALLECANO,0,0,0
250,ANDREI RATIU,RAYO VALLECANO,0,8,0
250,DANI CÁRDENAS,RAYO VALLECANO,0,0,0
250,MARTÍN PASCUAL,RAYO VALLECANO,0,0,0
250,JOSÉ POZO,RAYO VALLECANO,0,2,0
250,MIGUEL ÁNGEL MORRO,RAYO VALLECANO,0,0,0
250,ALEJANDRO GONZÁLEZ GORRIN,UD LAS PALMAS,0,0,0
250,IÑAKI GONZÁLEZ,UD LAS PALMAS,0,1,0
250,ERIC CURBELO,UD LAS PALMAS,0,1,0
250,AARÓN ESCANDELL,UD LAS PALMAS,0,1,0
250,SANTIAGO BUENO,GIRONA FC,0,0,0
250,MANU VALLEJO,GIRONA FC,0,0,0
250,JHON SOLÍS,GIRONA FC,0,15,0
250,IBRAHIMA KÉBÉ,GIRONA FC,0,2,0
250,IKER ALMENA,GIRONA FC,0,0,0
250,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0
250,TONI FUIDIAS,GIRONA FC,0,0,0
250,ANDER SÁNCHEZ,DEPORTIVO ALAVÉS,0,0,0
250,JOSEDA ÁLVAREZ,DEPORTIVO ALAVÉS,0,0,0
250,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0,0
250,SELU DIALLO,DEPORTIVO ALAVÉS,0,0,0
250,NIKOLA MARAS,DEPORTIVO ALAVÉS,0,0,0
250,GIORGI GAGUA,DEPORTIVO ALAVÉS,0,0,0
250,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0
250,GAIZKA GARCÍA,DEPORTIVO ALAVÉS,0,0,0
250,DAVID GIL,CÁDIZ CF,0,4,0
250,MOMO MBAYE,CÁDIZ CF,0,4,0
250,ÁLVARO BASTIDA,CÁDIZ CF,0,0,0
250,JOSEBA ZALDÚA,CÁDIZ CF,0,8,0
250,JOSÉ ANTONIO DE LA ROSA,CÁDIZ CF,0,0,0
250,MARIO GONZÁLEZ,GRANADA CF,0,0,0
250,WILSON MIGUEIS MANAFÁ JANCÓ,GRANADA CF,0,4,0
250,ADRI LÓPEZ,GRANADA CF,0,0,0
250,URKO GONZÁLEZ,REAL SOCIEDAD,0,4,0
250,PABLO MARÍN,REAL SOCIEDAD,0,0,0
250,AITOR FRAGA,REAL SOCIEDAD,0,0,0
250,UNAI MARRERO,REAL SOCIEDAD,0,2,0
250,ARITZ ELUSTONDO,REAL SOCIEDAD,0,9,0
250,NICO PAZ,REAL MADRID,0,4,0
250,GONZALO GARCÍA,REAL MADRID,0,2,0
250,FRANCISCO JAVIER GONZÁLEZ PÉREZ,REAL MADRID,0,0,0
250,LUCAS CAÑIZARES,REAL MADRID,0,0,0
250,DIEGO PIÑEIRO,REAL MADRID,0,0,0
250,MATÍAS ÁRBOL,SEVILLA FC,0,0,0
250,GONZALO MONTIEL,SEVILLA FC,0,0,0
250,MANU BUENO,SEVILLA FC,0,2,0
250,ØRJAN NYLAND,SEVILLA FC,0,16,0
250,ALEJANDRO DARÍO GÓMEZ VILLAVERDE,SEVILLA FC,0,0,0
250,IVO GRBIC,ATLÉTICO DE MADRID,0,0,0
250,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0
250,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0
250,DANIEL CERANTOLA FUZATO,GETAFE CF,0,0,0
250,JORGE BENITO,GETAFE CF,0,0,0
250,PABLO VALENCIA,CA OSASUNA,0,0,0
250,DIMITRIOS STAMATAKIS,CA OSASUNA,0,0,0
250,JAVI MARTÍNEZ,CA OSASUNA,0,0,0
250,PEPE REINA,VILLARREAL CF,0,1,0
250,MANU TRIGUEROS,VILLARREAL CF,0,11,0
250,ADRIÀ ALTI,VILLARREAL CF,0,11,0
250,DAVID LÓPEZ,RCD MALLORCA,0,0,0
250,YERAY ÁLVAREZ,ATHLETIC CLUB,0,13,0
250,UNAI HERNÁNDEZ,FC BARCELONA,0,0,0
250,PABLO BUSTO,REAL BETIS,0,2,0
250,ENRIQUE FERNÁNDEZ,REAL BETIS,0,0,0
250,VICENTE GUAITA,RC CELTA,0,21,0
250,MIHAILO RISTIC,RC CELTA,0,11,0
250,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,0,17,0
250,DIEGO RICO,GETAFE CF,0,25,0
250,MARIANO DÍAZ,SEVILLA FC,0,6,0
250,ADNAN JANUZAJ,SEVILLA FC,0,8,0
250,BOUBAKARY SOUMARÉ,SEVILLA FC,0,21,0
250,MARVIN OLAWALE AKINLABI PARK,UD LAS PALMAS,0,25,0
250,DANI CEBALLOS,REAL MADRID,0,14,0
250,CÉSAR MONTES,UD ALMERÍA,0,16,0
250,CARLOS ROMERO,VILLARREAL CF,0,7,0
250,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,0,4,0
250,JASTIN GARCÍA,GIRONA FC,0,2,0
250,SHON WEISSMAN,GRANADA CF,0,5,0
250,RAÚL TORRENTE,GRANADA CF,0,14,0
250,ÁLVARO FERNÁNDEZ,GRANADA CF,0,13,0
250,TOMÁS MENDES,DEPORTIVO ALAVÉS,0,1,0
250,UNAI ROPERO,DEPORTIVO ALAVÉS,0,1,0
250,MARCIANO SANCA TCHAMI,UD ALMERÍA,0,6,0
250,CLAUDIO BRAVO,REAL BETIS,0,7,0
250,FERLAND MENDY,REAL MADRID,0,20,0
250,JON MAGUNAZELAIA,REAL SOCIEDAD,0,5,0
250,VICTOR CHUST,CÁDIZ CF,0,15,0
250,ROMINIGUE KOUAMÉ,CÁDIZ CF,0,16,0
250,SERGI GUARDIOLA,CÁDIZ CF,0,18,0
250,ALBERTO FLORES,SEVILLA FC,0,0,0
250,JOHN PATRICK,GETAFE CF,0,0,0
250,RICARDO VISUS,REAL BETIS,0,2,0
250,SALIM EL JEBARI,ATLÉTICO DE MADRID,0,1,0
250,MARCO MORENO,ATLÉTICO DE MADRID,0,0,0
250,AITOR GISMERA,ATLÉTICO DE MADRID,0,0,0
250,ADRIÁN NIÑO,ATLÉTICO DE MADRID,0,0,0
250,MIGUEL MARTÍN GARCÍA,RCD MALLORCA,0,0,0
250,ÁLVARO CARRILLO,REAL MADRID,0,0,0
250,BORJA GARCÍA,GIRONA FC,0,0,0
250,PACO SANZ,UD ALMERÍA,0,0,0
250,RÚBEN MONTERO,DEPORTIVO ALAVÉS,0,0,0
250,DARKO BRASANAC,CA OSASUNA,0,2,0
250,YAREK GASIOROWSKI,VALENCIA CF,0,9,0
250,MARCOS PEÑA,UD ALMERÍA,0,2,0
250,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,0,6,0
250,PAU VICTOR,FC BARCELONA,0,0,0
250,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0
250,NABIL ABERDIN,GETAFE CF,0,0,0
250,FACUNDO ESNÁIDER,GETAFE CF,0,0,0
250,YUZÚN LEY,RCD MALLORCA,0,0,0
250,TANGUY NIANZOU,SEVILLA FC,0,6,0
250,ENEKO ORTIZ,DEPORTIVO ALAVÉS,0,0,0
250,HÉCTOR FORT,FC BARCELONA,0,4,0
250,ÁLEX MORATA,CÁDIZ CF,0,0,0
250,ARISTIDE NJALLA,CÁDIZ CF,0,0,0
250,JORGE MARTÍN,GETAFE CF,0,9,0
250,LUIS MILLA,GETAFE CF,0,19,0
250,SERGIO MESTRE,ATLÉTICO DE MADRID,0,0,0
250,NABIL FEKIR,REAL BETIS,0,12,0
250,JON ARAMBURU,REAL SOCIEDAD,0,6,0
250,HUGO ÁLVAREZ,RC CELTA,0,5,0
250,JAVI RODRÍGUEZ,RC CELTA,0,0,0
250,HUGO RINCÓN,ATHLETIC CLUB,0,0,0
250,JORGE PASCUAL,VILLARREAL CF,0,1,0
250,VICTOR WEHBI AZNAR USSEN,CÁDIZ CF,0,0,0
250,DAMIÁN RODRÍGUEZ,RC CELTA,0,1,0
250,EDGAR PUJOL,REAL MADRID,0,0,0
250,RACHAD FETTAL,UD ALMERÍA,0,1,0
250,VICTOR PARADA,DEPORTIVO ALAVÉS,0,2,0
250,SOKRATIS PAPASTATHOPOULOS,REAL BETIS,0,10,0
250,ALEIX GARRIDO,FC BARCELONA,0,0,0
250,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0
250,MARIO MARTÍN,REAL MADRID,0,0,0
250,ABRAHAM DEL MORAL,VILLARREAL CF,0,0,0
250,BRIAN OCAMPO,CÁDIZ CF,0,10,0
250,ÁLEX PADILLA,ATHLETIC CLUB,0,0,0
250,MOUSSA DIAKITÉ,CÁDIZ CF,0,1,0
250,THÉO ZIDANE,REAL MADRID,0,0,0
250,MARCO CAMUS,VALENCIA CF,0,0,0
250,PAU MASCARÓ,RCD MALLORCA,0,0,0
250,FRANCIS COQUELIN,VILLARREAL CF,0,12,0
250,RAFAEL ROMERO,SEVILLA FC,0,0,0
250,DARÍO BENAVIDES,SEVILLA FC,0,0,0
250,IBRAHIMA SOW,SEVILLA FC,0,0,0
250,ALBERTO MARÍ,VALENCIA CF,0,9,0
250,PAU FERRER BESALDUCH,UD LAS PALMAS,0,0,0
250,GAIZKA AYESA,REAL SOCIEDAD,0,0,0
250,BRYAN FIABEMA,REAL SOCIEDAD,0,0,0
250,AINGERU OLABARRIETA,ATHLETIC CLUB,0,0,0
250,MIKEL JAUREGIZAR,ATHLETIC CLUB,0,4,0
250,RAYANE BELAID,ATLÉTICO DE MADRID,0,0,0
250,POL TRISTÁN,GRANADA CF,0,0,0
250,JAVI DOMÍNGUEZ,RC CELTA,0,0,0
250,FRAN ÁRBOL,GRANADA CF,0,0,0
250,MARIO DE LUIS,REAL MADRID,0,0,0
250,VINÍCIUS AUGUSTO TOBIAS DA SILVA,REAL MADRID,0,0,0
250,MARCOS FERNÁNDEZ,RCD MALLORCA,0,0,0
250,EGOITZ MUÑOZ,DEPORTIVO ALAVÉS,0,0,0
250,MIGUEL JIMÉNEZ CAPITAS,SEVILLA FC,0,0,0
250,LUIS DASILVA RODRÍGUEZ,SEVILLA FC,0,0,0
250,DIEGO HORMIGO,SEVILLA FC,0,1,0
250,ENES ÜNAL,GETAFE CF,0,3,0
250,PAU PRIM,FC BARCELONA,0,0,0
250,NOBEL MENDY,REAL BETIS,0,0,0
250,ERIC BAILLY,VILLARREAL CF,0,7,0
250,DAVID OTORBI,VALENCIA CF,0,0,0
250,CARLOS VICENTE,DEPORTIVO ALAVÉS,0,11,0
250,GIULIANO SIMEONE,DEPORTIVO ALAVÉS,0,7,0
250,AUGUSTO BATALLA,GRANADA CF,0,12,0
250,MATÍAS AREZO,GRANADA CF,0,9,0
250,JAÍLSON MARQUES SIQUEIRA,RC CELTA,0,8,0
250,ANTAL YAAKOBISHVILI,GIRONA FC,0,1,0
250,MARTIN SVIDERSKY,UD ALMERÍA,0,0,0
250,LUCIEN AGOUMÉ,SEVILLA FC,0,4,0
250,MARTIN HONGLA,GRANADA CF,0,8,0
250,KAMIL PIATKOWSKI,GRANADA CF,0,5,0
250,ALEJANDRO QUEVEDO,RCD MALLORCA,0,0,0
250,XAVIER PLEGUEZUELO,REAL BETIS,0,0,0
250,ALBERTO DADIE,REAL SOCIEDAD,0,1,0
250,STEFAN LEKOVIC,VILLARREAL CF,0,1,0
250,ERIC MONJONELL,GIRONA FC,0,0,0
250,ETTA EYONG,CÁDIZ CF,0,1,0
250,FABIO GONZÁLEZ,UD LAS PALMAS,0,2,0
250,IKER ÁLVAREZ,VILLARREAL CF,0,0,0
250,JON MARTÍN,REAL SOCIEDAD,0,0,0
250,IÑAKI RUPÉREZ,REAL SOCIEDAD,0,0,0
250,SHERALDO BECKER,REAL SOCIEDAD,0,7,0
250,RICARD ARTERO,GIRONA FC,0,0,0
250,DJORDJIJE MEDENICA,GETAFE CF,0,0,0
250,HANNIBAL MEJBRI,SEVILLA FC,0,4,0
250,LASSINA SANGARE,GRANADA CF,0,0,0
250,PABLO SÁENZ,GRANADA CF,0,0,0
250,ALEKSANDAR RADOVANOVIC,UD ALMERÍA,0,7,0
250,YERSON MOSQUERA,VILLARREAL CF,0,8,0
250,JAVI GALÁN,REAL SOCIEDAD,0,14,0
250,HORATIU MOLDOVAN,ATLÉTICO DE MADRID,0,0,0
250,ARTHUR VERMEEREN,ATLÉTICO DE MADRID,0,3,0
250,FAITOUT MAOUASSA,GRANADA CF,0,4,0
250,MARC MARTÍNEZ,GRANADA CF,0,0,0
250,EGHOSA BELLO,GRANADA CF,0,0,0
250,GABRIEL ARMANDO DE ABREU,ATLÉTICO DE MADRID,0,22,0
250,MIGUEL CRESPO DA SILVA,RAYO VALLECANO,0,7,0
250,PETER GONZÁLEZ,VALENCIA CF,0,7,0
250,JOAQUÍN PANICHELLI,DEPORTIVO ALAVÉS,0,2,0
250,ANTHONY LOZANO,UD ALMERÍA,0,12,0
250,BRUNO ALBERTO LANGA,UD ALMERÍA,0,5,0
250,JAVIER MANQUILLO,RC CELTA,0,6,0
250,AIHAM HANZ OUSOU,CÁDIZ CF,0,3,0
250,STANIS IDUMBO MUZAMBO,SEVILLA FC,0,0,0
250,DIADIÉ SAMASSÉKOU,CÁDIZ CF,0,2,0
250,JACOBO RAMÓN,REAL MADRID,0,0,0
250,BERTRAND TRAORÉ,VILLARREAL CF,0,5,0
250,NEMANJA RADONJIC,RCD MALLORCA,0,5,0
250,ILAIX MORIBA,GETAFE CF,0,7,0
250,ALEJANDRO HERRANZ,GETAFE CF,0,0,0
250,KAMIL JÓZWIAK,GRANADA CF,0,6,0
250,ALEJO VÉLIZ,SEVILLA FC,0,3,0
250,XAVI SINTES,SEVILLA FC,0,0,0
250,CÉDRIC BAKAMBU,REAL BETIS,0,1,0
250,JOSÉ ÁNGEL GÓMEZ CAMPAÑA,UD LAS PALMAS,0,4,0
250,IÑIGO ARGUIBIDE,CA OSASUNA,0,1,0
250,MAX SVENSSON,CA OSASUNA,0,0,0
250,ÁLVARO RODRÍGUEZ,REAL MADRID,0,1,0
250,SERGIO GIMENO,GETAFE CF,0,0,0
250,DANIEL BUDESCA,VILLARREAL CF,0,0,0
250,MIKAYIL FAYE,FC BARCELONA,0,0,0
250,ASIER OSAMBELA,CA OSASUNA,0,0,0
